Metropolitan area name,2009,2013,Change?,Alternative?,Comments about the metropolitan area changed,Old name
"Salem, OR",41420,41420,Same,,No change.,
"Salinas, CA",41500,41500,Same,,No change.,
"Salisbury, MD-DE (updated name)",41540,41540,Same,,Two new counties.,"Salisbury, MD"
"Salt Lake City, UT",41620,41620,Same,,One fewer original county.,
"San Angelo, TX",41660,41660,Same,,No change.,
"San Antonio-New Braunfels, TX",41700,41700,Same,,No change.,
"San Diego-Carlsbad, CA (updated name)",41740,41740,Same,,No change.,"San Diego-Carlsbad-San Marcos, CA"
"San Francisco-Oakland-Hayward, CA (updated name)",41860,41860,Same,,No change.,"San Francisco-Oakland-Fremont, CA"
"San Jose-Sunnyvale-Santa Clara, CA",41940,41940,Same,,No change.,
"San Luis Obispo-Paso Robles-Arroyo Grande, CA (updated name)",42020,42020,Same,,No change.,"San Luis Obispo-Paso Robles, CA"
"Santa Cruz-Watsonville, CA",42100,42100,Same,,No change.,
"Santa Fe, NM",42140,42140,Same,,No change.,
"Santa Rosa, CA (updated name)",42220,42220,Same,,No change.,"Santa Rosa-Petaluma, CA"
"Savannah, GA",42340,42340,Same,,No change.,
"Scranton--Wilkes-Barre--Hazleton, PA (updated name)",42540,42540,Same,,No change.,"Scranton--Wilkes-Barre, PA"
"Seattle-Tacoma-Bellevue, WA",42660,42660,Same,,No change.,
"Sebastian-Vero Beach, FL",42680,42680,Same,,No change.,
"Sheboygan, WI",43100,43100,Same,,No change.,
"Sherman-Denison, TX",43300,43300,Same,,No change.,
"Shreveport-Bossier City, LA",43340,43340,Same,,One new county.,
"Sioux City, IA-NE-SD",43580,43580,Same,,One new county.,
"Sioux Falls, SD",43620,43620,Same,,No change.,
"South Bend-Mishawaka, IN-MI",43780,43780,Same,,No change.,
"Spartanburg, SC",43900,43900,Same,,One new county.,
"Spokane-Spokane Valley, WA (updated name)",44060,44060,Same,,Two new counties.,"Spokane, WA"
"Springfield, IL",44100,44100,Same,,No change.,
"Springfield, MA",44140,44140,Same,,One fewer original county.,
"Springfield, MO",44180,44180,Same,,No change.,
"Springfield, OH",44220,44220,Same,,No change.,
"State College, PA",44300,44300,Same,,No change.,
"Stockton-Lodi, CA (updated name)",44700,44700,Same,,No change.,"Stockton, CA"
"Sumter, SC",44940,44940,Same,,No change.,
"Syracuse, NY",45060,45060,Same,,No change.,
"Tallahassee, FL",45220,45220,Same,,No change.,
"Tampa-St. Petersburg-Clearwater, FL",45300,45300,Same,,No change.,
"Terre Haute, IN",45460,45460,Same,,No change.,
"Texarkana, TX-AR (updated name)",45500,45500,Same,,One new county.,"Texarkana, TX-Texarkana, AR"
"Toledo, OH",45780,45780,Same,,One fewer original county.,
"Topeka, KS",45820,45820,Same,,No change.,
"Trenton, NJ (updated name)",45940,45940,Same,,No change.,"Trenton-Ewing, NJ"
"Tucson, AZ",46060,46060,Same,,No change.,
"Tulsa, OK",46140,46140,Same,,No change.,
"Tuscaloosa, AL",46220,46220,Same,,One new county and one fewer original county.,
"Tyler, TX",46340,46340,Same,,No change.,
"Utica-Rome, NY",46540,46540,Same,,No change.,
"Valdosta, GA",46660,46660,Same,,No change.,
"Vallejo-Fairfield, CA",46700,46700,Same,,No change.,
"Victoria, TX",47020,47020,Same,,One fewer original county.,
"Vineland-Bridgeton, NJ (updated name)",47220,47220,Same,,No change.,"Vineland-Millville-Bridgeton, NJ"
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,47260,Same,,One new county and one fewer original county.,
"Visalia-Porterville, CA",47300,47300,Same,,No change.,
"Waco, TX",47380,47380,Same,,One new county.,
"Warner Robins, GA",47580,47580,Same,,Two new counties.,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,47900,Same,,Two new counties.,
"Waterloo-Cedar Falls, IA",47940,47940,Same,,No change.,
"Wausau, WI",48140,48140,Same,,No change.,
"Wenatchee, WA (updated name)",48300,48300,Same,,No change.,"Wenatchee-East Wenatchee, WA"
"Wheeling, WV-OH",48540,48540,Same,,No change.,
"Wichita, KS",48620,48620,Same,,One new county.,
"Wichita Falls, TX",48660,48660,Same,,No change.,
"Williamsport, PA",48700,48700,Same,,No change.,
"Wilmington, NC",48900,48900,Same,,One fewer original county.,
"Winchester, VA-WV",49020,49020,Same,,No change.,
"Winston-Salem, NC",49180,49180,Same,,One new county.,
"Worcester, MA-CT (updated name)",49340,49340,Same,,One new county.,"Worcester, MA"
"Yakima, WA",49420,49420,Same,,No change.,
"York-Hanover, PA",49620,49620,Same,,No change.,
"Youngstown-Warren-Boardman, OH-PA",49660,49660,Same,,No change.,
"Yuba City, CA",49700,49700,Same,,No change.,
"Yuma, AZ",49740,49740,Same,,No change.,
"Anderson, IN (old name)",11300,,Removed,26900,Old metropolitan area no longer exists.,
"Anderson, SC (old name)",11340,,Removed,24860,Old metropolitan area no longer exists.,
"Bloomington-Normal, IL (old name)",14060,,Removed,14010,Old metropolitan area no longer exists.,
"Danville, VA (old name)",19260,,Removed,,Old metropolitan area no longer exists.,
"Holland-Grand Haven, MI (old name)",26100,,Removed,24340,Old metropolitan area no longer exists.,
"Honolulu, HI (old name)",26180,,Removed,46520,Old metropolitan area no longer exists.,
"Lafayette, IN (old name)",29140,,Removed,29200,Old metropolitan area no longer exists.,
"Los Angeles-Long Beach-Santa Ana, CA (old name)",31100,,Removed,31080,Old metropolitan area no longer exists.,
"Palm Coast, FL (old name)",37380,,Removed,19660,Old metropolitan area no longer exists.,
"Pascagoula, MS (old name)",37700,,Removed,25060,Old metropolitan area no longer exists.,
"Poughkeepsie-Newburgh-Middletown, NY (old name)",39100,,Removed,,Old metropolitan area no longer exists.,
"Sandusky, OH (old name)",41780,,Removed,,Old metropolitan area no longer exists.,
"Santa Barbara-Santa Maria-Goleta, CA (old name)",42060,,Removed,42200,Old metropolitan area no longer exists.,
"Steubenville-Weirton, OH-WV (old name)",44600,,Removed,48260,Old metropolitan area no longer exists.,
"Albany, OR (new name)",,10540,Added,,New metropolitan area was created.,
"Beckley, WV (new name)",,13220,Added,,New metropolitan area was created.,
"Bloomington, IL (new name)",,14010,Added,14060,New metropolitan area was created.,
"Bloomsburg-Berwick, PA (new name)",,14100,Added,,New metropolitan area was created.,
"California-Lexington Park, MD (new name)",,15680,Added,,New metropolitan area was created.,
"Carbondale-Marion, IL (new name)",,16060,Added,,New metropolitan area was created.,
"Chambersburg-Waynesboro, PA (new name)",,16540,Added,,New metropolitan area was created.,
"Daphne-Fairhope-Foley, AL (new name)",,19300,Added,,New metropolitan area was created.,
"East Stroudsburg, PA (new name)",,20700,Added,,New metropolitan area was created.,
"Gettysburg, PA (new name)",,23900,Added,,New metropolitan area was created.,
"Grand Island, NE (new name)",,24260,Added,,New metropolitan area was created.,
"Grants Pass, OR (new name)",,24420,Added,,New metropolitan area was created.,
"Hammond, LA (new name)",,25220,Added,,New metropolitan area was created.,
"Hilton Head Island-Bluffton-Beaufort, SC (new name)",,25940,Added,,New metropolitan area was created.,
"Homosassa Springs, FL (new name)",,26140,Added,,New metropolitan area was created.,
"Honolulu ('Urban Honolulu'), HI (new name)",,46520,Added,26180,New metropolitan area was created.,
"Kahului-Wailuku-Lahaina, HI (new name)",,27980,Added,,New metropolitan area was created.,
"Lafayette-West Lafayette, IN (new name)",,29200,Added,29140,New metropolitan area was created.,
"Los Angeles-Long Beach-Anaheim, CA (new name)",,31080,Added,31100,New metropolitan area was created.,
"Midland, MI (new name)",,33220,Added,,New metropolitan area was created.,
"New Bern, NC (new name)",,35100,Added,,New metropolitan area was created.,
"Santa Maria-Santa Barbara, CA (new name)",,42200,Added,42060,New metropolitan area was created.,
"Sebring, FL (new name)",,42700,Added,,New metropolitan area was created.,
"Sierra Vista-Douglas, AZ (new name)",,43420,Added,,New metropolitan area was created.,
"Staunton-Waynesboro, VA (new name)",,44420,Added,,New metropolitan area was created.,
"The Villages, FL (new name)",,45540,Added,,New metropolitan area was created.,
"Walla Walla, WA (new name)",,47460,Added,,New metropolitan area was created.,
"Watertown-Fort Drum, NY (new name)",,48060,Added,,New metropolitan area was created.,
"Weirton-Steubenville, WV-OH (new name)",,48260,Added,44600,New metropolitan area was created.,
"Notes: FHFA's calculations for code matches and county frequencies are based on 2009 and 2013 metropolitan area delineations published by the U.S. Census Bureau.  Alternative lookups are provided for CBSA numbers that do not match perfectly between 2009 and 2013 if a CBSA was not downgraded/upgraded to/from a Micropolitan Statistical Area. The 2013 name for Urban Honolulu, HI has been changed to Honolulu ('Urban Honolulu'), HI.",,,,,,
Source: Federal Housing Finance Agency (FHFA). ,,,,,,
